#type	charge(e)	radius(A)	epsilon(kJ.mol-1)	mass(Da)	transferIMP(kJ.mol-1.A-2
QHG3	0.0352	1.487	0.0157	1.008	-0.0397
QN	-0.4157	1.824	0.17	14.01	0.112
QNE2	-0.9407	1.824	0.17	14.01	0.112
QO	-0.5679	1.6612	0.21	16.0	0.0403
QOE1	-0.6086	1.6612	0.21	16.0	0.0403
RC	0.7341	1.908	0.086	12.01	-0.0134
RCA	-0.2637	1.908	0.1094	12.01	-0.105
RCB	-0.0007	1.908	0.1094	12.01	-0.105
RCD	0.0486	1.908	0.1094	12.01	-0.105
RCG	0.039	1.908	0.1094	12.01	-0.105
RCZ	0.8076	1.908	0.086	12.01	-0.0134
RH	0.2747	0.6	0.0157	1.008	0.0362
RHA	0.156	1.387	0.0157	1.008	-0.0397
RHB2	0.0327	1.487	0.0157	1.008	-0.0397
RHB3	0.0327	1.487	0.0157	1.008	-0.0397
RHD2	0.0687	1.387	0.0157	1.008	-0.0397
RHD3	0.0687	1.387	0.0157	1.008	-0.0397
RHE	0.3456	0.6	0.0157	1.008	0.0362
RHG2	0.0285	1.487	0.0157	1.008	-0.0397
RHG3	0.0285	1.487	0.0157	1.008	-0.0397
RHH11	0.4478	0.6	0.0157	1.008	0.0362
RHH12	0.4478	0.6	0.0157	1.008	0.0362
RHH21	0.4478	0.6	0.0157	1.008	0.0362
RHH22	0.4478	0.6	0.0157	1.008	0.0362
RN	-0.3479	1.824	0.17	14.01	0.112
RNE	-0.5295	1.824	0.17	14.01	0.112
RNH1	-0.8627	1.824	0.17	14.01	0.112
RNH2	-0.8627	1.824	0.17	14.01	0.112
RO	-0.5894	1.6612	0.21	16.0	0.0403
SC	0.5973	1.908	0.086	12.01	-0.0134
SCA	-0.0249	1.908	0.1094	12.01	-0.105
SCB	0.2117	1.908	0.1094	12.01	-0.105
SH	0.2719	0.6	0.0157	1.008	0.0362
SHA	0.0843	1.387	0.0157	1.008	-0.0397
SHB2	0.0352	1.387	0.0157	1.008	-0.0397
SHB3	0.0352	1.387	0.0157	1.008	-0.0397
SHG	0.4275	0.0	0.0	1.008	0.0362
SN	-0.4157	1.824	0.17	14.01	0.112
SO	-0.5679	1.6612	0.21	16.0	0.0403
SOG	-0.6546	1.721	0.2104	16.0	0.0403
TC	0.5973	1.908	0.086	12.01	-0.0134
TCA	-0.0389	1.908	0.1094	12.01	-0.105
TCB	0.3654	1.908	0.1094	12.01	-0.105
TCG2	-0.2438	1.908	0.1094	12.01	-0.105
TH	0.2719	0.6	0.0157	1.008	0.0362
THA	0.1007	1.387	0.0157	1.008	-0.0397
THB	0.0043	1.387	0.0157	1.008	-0.0397
THG1	0.4102	0.0	0.0	1.008	0.0362
THG21	0.0642	1.487	0.0157	1.008	-0.0397
THG22	0.0642	1.487	0.0157	1.008	-0.0397
THG23	0.0642	1.487	0.0157	1.008	-0.0397
TN	-0.4157	1.824	0.17	14.01	0.112
TO	-0.5679	1.6612	0.21	16.0	0.0403
TOG1	-0.6761	1.721	0.2104	16.0	0.0403
VC	0.5973	1.908	0.086	12.01	-0.0134
VCA	-0.0875	1.908	0.1094	12.01	-0.105
VCB	0.2985	1.908	0.1094	12.01	-0.105
VCG1	-0.3192	1.908	0.1094	12.01	-0.105
VCG2	-0.3192	1.908	0.1094	12.01	-0.105
VH	0.2719	0.6	0.0157	1.008	0.0362
VHA	0.0969	1.387	0.0157	1.008	-0.0397
VHB	-0.0297	1.487	0.0157	1.008	-0.0397
VHG11	0.0791	1.487	0.0157	1.008	-0.0397
VHG12	0.0791	1.487	0.0157	1.008	-0.0397
VHG13	0.0791	1.487	0.0157	1.008	-0.0397
VHG21	0.0791	1.487	0.0157	1.008	-0.0397
VHG22	0.0791	1.487	0.0157	1.008	-0.0397
VHG23	0.0791	1.487	0.0157	1.008	-0.0397
VN	-0.4157	1.824	0.17	14.01	0.112
VO	-0.5679	1.6612	0.21	16.0	0.0403
WC	0.5973	1.908	0.086	12.01	-0.0134
WCA	-0.0275	1.908	0.1094	12.01	-0.105
WCB	-0.005	1.908	0.1094	12.01	-0.105
WCD1	-0.1638	1.908	0.086	12.01	-0.0134
WCD2	0.1243	1.908	0.086	12.01	-0.0134
WCE2	0.138	1.908	0.086	12.01	-0.0134
WCE3	-0.2387	1.908	0.086	12.01	-0.0134
WCG	-0.1415	1.908	0.086	12.01	-0.0134
WCH2	-0.1134	1.908	0.086	12.01	-0.0134
WCZ2	-0.2601	1.908	0.086	12.01	-0.0134
WCZ3	-0.1972	1.908	0.086	12.01	-0.0134
WH	0.2719	0.6	0.0157	1.008	0.0362
WHA	0.1123	1.387	0.0157	1.008	-0.0397
WHB2	0.0339	1.487	0.0157	1.008	-0.0397
WHB3	0.0339	1.487	0.0157	1.008	-0.0397
WHD1	0.2062	1.409	0.015	1.008	-0.0397
WHE1	0.3412	0.6	0.0157	1.008	0.0362
WHE3	0.17	1.459	0.015	1.008	-0.0397
WHH2	0.1417	1.459	0.015	1.008	-0.0397
WHZ2	0.1572	1.459	0.015	1.008	-0.0397
WHZ3	0.1447	1.459	0.015	1.008	-0.0397
WN	-0.4157	1.824	0.17	14.01	0.112
WNE1	-0.3418	1.824	0.17	14.01	0.112
WO	-0.5679	1.6612	0.21	16.0	0.0403
YC	0.5973	1.908	0.086	12.01	-0.0134
YCA	-0.0014	1.908	0.1094	12.01	-0.105
YCB	-0.0152	1.908	0.1094	12.01	-0.105
YCD1	-0.1906	1.908	0.086	12.01	-0.0134
YCD2	-0.1906	1.908	0.086	12.01	-0.0134
YCE1	-0.2341	1.908	0.086	12.01	-0.0134
